FIPS:10-4,GEC:18,GENC:3.0.0,ISO3166:1
alpha2,alpha2,alpha3,alpha3
AF,AF,AFG,AFG
AL,AL,ALB,ALB
AG,AG,DZA,DZA
AQ,AQ,ASM,ASM
AN,AN,AND,AND
AO,AO,AGO,AGO
AV,AV,AIA,AIA
AY,AY,ATA,ATA
AC,AC,ATG,ATG
AR,AR,ARG,ARG
AM,AM,ARM,ARM
AA,AA,ABW,ABW
AS,AS,AUS,AUS
AU,AU,AUT,AUT
AJ,AJ,AZE,AZE
BF,BF,BHS,BHS
BA,BA,BHR,BHR
BG,BG,BGD,BGD
BB,BB,BRB,BRB
BO,BO,BLR,BLR
BE,BE,BEL,BEL
BH,BH,BLZ,BLZ
BN,BN,BEN,BEN
BD,BD,BMU,BMU
BT,BT,BTN,BTN
BL,BL,BOL,BOL
BK,BK,BIH,BIH
BC,BC,BWA,BWA
BV,BV,BVT,BVT
BR,BR,BRA,BRA
IO,IO,IOT,IOT
VI,VI,VGB,VGB
BX,BX,BRN,BRN
BU,BU,BGR,BGR
UV,UV,BFA,BFA
BM,BM,MMR,MMR
BY,BY,BDI,BDI
CV,CV,CPV,CPV
CB,CB,KHM,KHM
CM,CM,CMR,CMR
CA,CA,CAN,CAN
CJ,CJ,CYM,CYM
CT,CT,CAF,CAF
CD,CD,TCD,TCD
CI,CI,CHL,CHL
CH,CH,CHN,CHN
KT,KT,CXR,CXR
CK,CK,CCK,CCK
CO,CO,COL,COL
CN,CN,COM,COM
CG,CG,COD,COD
CF,CF,COG,COG
CW,CW,COK,COK
CS,CS,CRI,CRI
IV,IV,CIV,CIV
HR,HR,HRV,HRV
CU,CU,CUB,CUB
UC,UC,CUW,CUW
CY,CY,CYP,CYP
EZ,EZ,CZE,CZE
DA,DA,DNK,DNK
DJ,DJ,DJI,DJI
DO,DO,DMA,DMA
DR,DR,DOM,DOM
EC,EC,ECU,ECU
EG,EG,EGY,EGY
ES,ES,SLV,SLV
EK,EK,GNQ,GNQ
ER,ER,ERI,ERI
EN,EN,EST,EST
ET,ET,ETH,ETH
FK,FK,FLK,FLK
FO,FO,FRO,FRO
FJ,FJ,FJI,FJI
FI,FI,FIN,FIN
FR,FR,FRA,FRA
FG,FG,GUF,GUF
FP,FP,PYF,PYF
FS,FS,ATF,ATF
GB,GB,GAB,GAB
GA,GA,GMB,GMB
GZ,GZ,XGZ,
GG,GG,GEO,GEO
GM,GM,DEU,DEU
GH,GH,GHA,GHA
GI,GI,GIB,GIB
GR,GR,GRC,GRC
GL,GL,GRL,GRL
GJ,GJ,GRD,GRD
GP,GP,GLP,GLP
GQ,GQ,GUM,GUM
GT,GT,GTM,GTM
GK,GK,GGY,GGY
GV,GV,GIN,GIN
PU,PU,GNB,GNB
GY,GY,GUY,GUY
HA,HA,HTI,HTI
HM,HM,HMD,HMD
